uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week
296,2020-03-30,No,,0.889592,Very Good,81,Male,1.0,None,1.0,9.0,No,,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
297,2020-03-30,Yes,Yes,0.485756,Good,58,Female,2.0,Three or more,0.0,,Yes,No,0.0,Yes,,,,,9.0,Yes,Yes,Unsure,Most are underestimating the risks,Large changes,No,No,,Yes,Another race,IVR,Other,517.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,UNION,True,week1
298,2020-03-30,Yes,Yes,0.285488,Good,75,Female,1.0,None,2.0,0.0,No,,1.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,GASTON,True,week1
299,2020-03-30,Yes,Yes,0.5587449999999999,Very Good,62,Male,2.0,None,1.0,0.0,No,,0.0,Yes,No,No,No,No,8.0,Yes,No,Unsure,Most are overreacting to the actual risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,,3.0,3.0,1.0,3.0,2.0,3.0,,4.0,,,,,2.0,1.0,5.0,3.0,DAVIDSON,True,week1
300,2020-03-30,Yes,Yes,0.9620209999999999,5,70,Male,3.0,None,,,,,,,,,,,,,,,,,,,,0,Black,IVR,Black,545.0,5.0,5.0,Democrat,5.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,MARTIN,False,week1
301,2020-03-30,Yes,Yes,0.31645,Good,75,Male,3.0,None,3.0,2.0,No,,9.0,No,No,No,No,Yes,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,Black,Yes,Black,IVR,Hispanic,560.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,JOHNSTON,True,week1
302,2020-03-30,Yes,Yes,1.41924,Fair,56,Female,1.0,None,1.0,0.0,No,,0.0,Yes,,,,,9.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,5.0,5.0,Democrat,3.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,SURRY,True,week1
303,2020-03-30,Yes,Yes,0.706546,Very Good,75,Female,2.0,None,0.0,,No,,0.0,No,No,No,No,No,5.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,,4.0,1.0,2.0,3.0,4.0,2.0,,3.0,,,,,3.0,1.0,1.0,4.0,WAKE,True,week1
304,2020-03-30,Yes,Yes,1.14188,Good,58,Female,1.0,None,0.0,,No,,0.0,No,No,No,,,,,,,,,,,,0,White,IVR,Caucasian,545.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,PAMLICO,False,week1
305,2020-03-30,Yes,Yes,1.29906,Very Good,57,Female,4.0,None,1.0,1.0,Yes,,0.0,Yes,Yes,,,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Black,Yes,Black,IVR,Black,545.0,5.0,5.0,Democrat,3.0,2.0,5.0,3.0,5.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,CRAVEN,True,week1
306,2020-03-30,Yes,Yes,0.251141,Good,88,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,1.0,3.0,Republican,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,WAYNE,False,week1
307,2020-03-30,Yes,Yes,0.251141,Fair,78,Female,1.0,None,1.0,1.0,,,0.0,No,Yes,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,4.0,4.0,Democrat,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,CUMBERLAND,False,week1
308,2020-03-30,No,,0.285709,Good,67,Female,2.0,None,5.0,1.0,No,,0.0,Yes,Yes,,,Yes,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
309,2020-03-30,No,,0.37561500000000003,Good,63,Female,1.0,None,0.0,,No,,0.0,No,No,No,Yes,No,9.0,No,No,No,Most are underestimating the risks,No real changes,No,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
310,2020-03-30,Yes,Yes,1.05673,Fair,57,Female,3.0,One,9.0,0.0,No,No,2.0,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,WAYNE,False,week1
311,2020-03-30,Yes,Yes,0.285488,Fair,84,Female,2.0,None,1.0,1.0,No,,0.0,No,Yes,No,Yes,Yes,9.0,No,Yes,No,Most are reacting appropriately,Small changes,No,No,White,0,White,IVR,Caucasian,517.0,5.0,4.0,Democrat,3.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,GASTON,True,week1
312,2020-03-30,Yes,Yes,0.42698500000000006,Good,59,Female,2.0,None,0.0,,Yes,,0.0,Yes,No,No,Yes,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Other / Unaffiliated,3.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,GASTON,True,week1
313,2020-03-30,Yes,Yes,0.337294,Very Good,73,Female,3.0,One,9.0,9.0,Yes,Yes,4.0,Yes,Yes,Yes,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,RANDOLPH,True,week1
314,2020-03-30,Yes,Yes,0.251141,Very Good,93,Female,3.0,None,2.0,2.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,LEE,True,week1
315,2020-03-30,Yes,Yes,0.251141,Very Good,85,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,No,No,No,Most are reacting appropriately,Small changes,No,No,White,No,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,4.0,WAKE,True,week1
316,2020-03-30,Yes,Yes,1.41222,Good,40,Male,4.0,Two,9.0,5.0,Yes,Yes,0.0,Yes,Yes,Yes,No,No,5.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,ASHE,True,week1
317,2020-03-30,Yes,Yes,0.803175,Very Good,68,Female,2.0,None,0.0,,No,,0.0,No,No,No,No,,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0,CALDWELL,True,week1
318,2020-03-30,Yes,Yes,0.251141,Good,71,Female,1.0,None,2.0,1.0,No,,1.0,No,No,No,No,9,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,No,White,IVR,Caucasian,560.0,4.0,5.0,Democrat,3.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,5.0,NASH,True,week1
319,2020-03-30,Yes,Yes,0.42698500000000006,Good,63,Female,4.0,Two,0.0,,No,No,3.0,Yes,No,Yes,Yes,Yes,5.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,CALDWELL,True,week1
320,2020-03-30,No,,1.26475,Good,63,Male,2.0,None,0.0,,No,,0.0,Yes,,,,,4.0,Yes,No,Yes,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
321,2020-03-30,Yes,Yes,0.271379,Very Good,79,Female,1.0,None,3.0,0.0,No,,2.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,550.0,1.0,5.0,Republican,,,4.0,,3.0,,,,,,,,,,1.0,5.0,4.0,BRUNSWICK,True,week1
322,2020-03-30,Yes,Yes,0.271379,Very Good,86,Female,4.0,One,1.0,2.0,Yes,No,1.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,550.0,5.0,5.0,Democrat,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,PENDER,True,week1
323,2020-03-30,Yes,Yes,1.14188,Good,45,Female,4.0,Two,8.0,4.0,Yes,No,1.0,Yes,No,Yes,Yes,No,9.0,Yes,No,Unsure,Most are overreacting to the actual risks,Small changes,,,,0,White,IVR,Caucasian,545.0,1.0,5.0,Republican,1.0,3.0,5.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,CARTERET,True,week1
324,2020-03-30,Yes,Yes,0.300578,Very Good,81,Male,2.0,None,9.0,0.0,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,545.0,2.0,5.0,Other / Unaffiliated,3.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,ONSLOW,True,week1
325,2020-03-30,Yes,Yes,0.285488,Poor,67,Female,9.0,None,1.0,1.0,No,,0.0,No,Yes,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,4.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,ASHE,False,week1
326,2020-03-30,Yes,Yes,0.948923,Good,85,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,518.0,4.0,5.0,Democrat,3.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,FORSYTH,False,week1
327,2020-03-30,Yes,Yes,0.34195,Good,85,Male,1.0,None,0.0,,No,,0.0,Yes,,,,,,,,,,,,,,0,Black,IVR,Black,567.0,5.0,5.0,Democrat,3.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,BUNCOMBE,False,week1
328,2020-03-30,Yes,Yes,0.34195,Very Good,65,Male,2.0,None,2.0,3.0,Unsure,,0.0,Yes,No,,,,9.0,No,No,No,Most are reacting appropriately,Large changes,No,No,Black,No,Black,IVR,Black,545.0,5.0,5.0,Democrat,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,PITT,True,week1
329,2020-03-30,Yes,Yes,0.504467,Good,56,Female,2.0,None,3.0,0.0,Yes,,2.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,3.0,5.0,Other / Unaffiliated,3.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,CASWELL,True,week1
330,2020-03-30,Yes,Yes,0.706546,Good,70,Female,2.0,None,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,5.0,5.0,3.0,4.0,5.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,DURHAM,False,week1
331,2020-03-30,Yes,Yes,0.271379,Fair,83,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,567.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,MCDOWELL,False,week1
332,2020-03-30,Yes,Yes,0.42698500000000006,Very Good,46,Female,2.0,None,9.0,7.0,Yes,,0.0,Yes,Yes,Yes,9,9,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,4.0,Republican,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,BURKE,True,week1
333,2020-03-30,Yes,Yes,0.251141,Good,71,Female,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,WILSON,True,week1
334,2020-03-30,Yes,Yes,0.251141,Good,74,Female,2.0,None,3.0,0.0,5,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,WARREN,False,week1
335,2020-03-30,Yes,Yes,0.706546,Good,67,Female,1.0,None,2.0,2.0,No,,0.0,No,Yes,No,No,Yes,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,3.0,5.0,2.0,3.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,3.0,WAKE,True,week1
336,2020-03-30,Yes,Yes,0.504467,Good,62,Female,3.0,None,9.0,9.0,No,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,518.0,5.0,5.0,Democrat,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,RANDOLPH,False,week1
337,2020-03-30,Yes,Yes,0.782567,Fair,85,Male,2.0,None,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,WAYNE,False,week1
338,2020-03-30,Yes,Yes,1.41924,Very Good,52,Female,5.0,One,1.0,1.0,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,FORSYTH,True,week1
339,2020-03-30,Yes,Yes,0.845627,Fair,84,Male,2.0,None,2.0,2.0,No,,0.0,Yes,No,No,,,5.0,Yes,No,Unsure,Most are underestimating the risks,Unsure,Yes,No,White,No,White,IVR,Caucasian,567.0,1.0,5.0,Other / Unaffiliated,3.0,1.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,HAYWOOD,True,week1
340,2020-03-30,Yes,Yes,0.948923,Very Good,76,Female,2.0,None,0.0,,No,,0.0,Yes,,,,,8.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,No,White,IVR,Caucasian,518.0,5.0,5.0,Democrat,3.0,5.0,3.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,FORSYTH,True,week1
341,2020-03-30,Yes,Yes,0.38372,Good,65,Female,4.0,One,0.0,,Yes,No,0.0,Yes,Yes,Yes,Yes,,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,Yes,Black,IVR,Black,518.0,5.0,5.0,Other / Unaffiliated,3.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,5.0,4.0,1.0,2.0,3.0,FORSYTH,True,week1
342,2020-03-30,Yes,Yes,0.803175,Good,66,Female,2.0,None,2.0,1.0,Yes,,1.0,Yes,,,,Yes,9.0,Yes,Yes,3,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,3.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,RICHMOND,True,week1
343,2020-03-30,Yes,Yes,0.300578,Very Good,85,Male,1.0,None,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,550.0,5.0,3.0,Democrat,3.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,BRUNSWICK,False,week1
344,2020-03-30,Yes,Yes,0.37561500000000003,Very Good,47,Female,3.0,One,9.0,9.0,Yes,No,0.0,Yes,Yes,9,9,,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,5.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,WARREN,True,week1
345,2020-03-30,No,,0.473292,Poor,59,Male,6.0,None,4.0,3.0,Yes,,5.0,No,No,No,No,No,2.0,Yes,No,No,Most are underestimating the risks,Small changes,No,Yes,,Yes,Hispanic or Latino,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
346,2020-03-30,Yes,Yes,0.782567,Good,72,Male,2.0,None,0.0,,No,,0.0,Yes,Yes,No,No,No,8.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,,4.0,2.0,2.0,2.0,4.0,2.0,,4.0,,,,,4.0,1.0,1.0,4.0,DURHAM,True,week1
347,2020-03-30,Yes,Yes,0.37561500000000003,Good,60,Female,2.0,None,9.0,9.0,Yes,,0.0,Yes,Yes,Yes,Yes,,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,VANCE,True,week1
348,2020-03-30,Yes,Yes,0.485756,Good,57,Female,2.0,None,1.0,1.0,Yes,,0.0,No,,,,,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,LINCOLN,True,week1
349,2020-03-30,Yes,Yes,1.20125,Very Good,54,Female,3.0,None,1.0,1.0,No,,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,No,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,MECKLENBURG,True,week1
350,2020-03-30,Yes,Yes,0.285488,Good,82,Female,4.0,None,2.0,2.0,Yes,,0.0,Yes,Yes,9,9,9,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,CLEVELAND,True,week1
351,2020-03-30,Yes,Yes,0.285488,Good,81,Female,2.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,3.0,1.0,5.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,RICHMOND,True,week1
352,2020-03-30,Yes,Yes,0.913725,Good,66,Female,8.0,One,9.0,9.0,Yes,No,9.0,No,No,Yes,Yes,No,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,Yes,No,Another race,No,Another race,IVR,Black,517.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,RICHMOND,True,week1
353,2020-03-30,Yes,Yes,0.251141,Good,82,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,MOORE,False,week1
354,2020-03-30,Yes,Yes,0.285488,Good,77,Female,2.0,None,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,1.0,5.0,Republican,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,RICHMOND,False,week1
355,2020-03-30,Yes,Yes,0.278163,Fair,80,Male,2.0,None,9.0,1.0,No,,9.0,Yes,9,9,9,9,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,,,,0,White,IVR,Caucasian,560.0,5.0,3.0,Democrat,3.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,VANCE,True,week1
356,2020-03-30,Yes,Yes,0.405882,Very Good,58,Female,2.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,0,White,IVR,Caucasian,545.0,5.0,4.0,Democrat,3.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,CARTERET,True,week1
357,2020-03-30,Yes,Yes,1.29906,Very Good,56,Female,3.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,Yes,,Yes,Hispanic or Latino,IVR,Hispanic,545.0,5.0,5.0,Democrat,3.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,CRAVEN,True,week1
358,2020-03-30,Yes,Yes,0.845627,Good,78,Male,2.0,None,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,545.0,1.0,5.0,Republican,3.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,CRAVEN,False,week1
359,2020-03-30,No,,0.405882,Good,60,Female,2.0,None,0.0,,Yes,,4.0,Yes,No,No,Yes,,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
360,2020-03-30,Yes,Yes,1.0795299999999999,Very Good,65,Female,3.0,None,2.0,1.0,Yes,,0.0,Yes,No,No,No,No,5.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Black,No,Black,IVR,Black,518.0,5.0,5.0,Democrat,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,GUILFORD,True,week1
361,2020-03-30,Yes,Yes,0.285488,Good,65,Female,3.0,None,3.0,3.0,Yes,,3.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,CABARRUS,True,week1
362,2020-03-30,Yes,Yes,0.7634810000000001,Good,77,Female,2.0,None,0.0,,No,,0.0,Yes,Yes,,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,550.0,1.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,BRUNSWICK,True,week1
363,2020-03-30,Yes,Yes,0.34195,Poor,90,Male,2.0,None,0.0,,No,,1.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,No real changes,No,No,Black,Yes,Black,IVR,Caucasian,550.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,BRUNSWICK,True,week1
364,2020-03-30,No,,1.3424200000000002,Good,37,Male,4.0,Two,9.0,7.0,Yes,No,9.0,No,No,Yes,Yes,Yes,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
